"text","id_str","retweet","user_location","place_full_name","location","team_count","sentiment","HasNFLTeam","FanSentiment"
"The Packers better goddamn win this game. It's the fucking Redskins. If we can't beat them, there's no way in hell… https://t.co/YMEuVa2DuA",1203727882771714048,"False","North Carolina","","NC",1,"positive","Yes","Fan"
"I actually LOVE the disrespect the Redskins are giving Aaron Rodgers.  Apparently they don’t know he like playing w… https://t.co/Fv18HrN8rm",1203727537072947200,"False","","Grayslake, IL","IL",1,"positive","Yes","Fan"
"I teach him lots of respectable things.. one of which is we get rowdy on Sunday’s #GoPackGo https://t.co/lTJxmrSAR0",1.203726762125e+18,"False","Nebraska","Nebraska, USA","NE",0,"positive","No","Fan"
"I take my Wisconsin football pregaming seriously *and* literally. #GBvsWAS #GoPackGo https://t.co/Y54kDY1q5Y https://t.co/XkjWsyVU1x",1203726745582604288,"False","Washington, DC via Milwaukee","","WA",1,"negative","Yes","Foe"
"@VictoriaIdoni sorry, but #GoPackGo",1203726726037196800,"False","Toledo, OH","","OH",2,"negative","Yes","Foe"
"WATCH: Packers RB Jamaal Williams Getting Excited for 'Frozen 2' is Hilarious

 #Funny #gopackgo #GreenBay #NFL… https://t.co/Dqu2YzGRfM",1203726282095288320,"False","Michigan, USA","","MI",1,"positive","Yes","Fan"
"Almost game time!  #GoPackGo https://t.co/5dRYRBOfEc",1203725887490924544,"False","Windermere, FL","","FL",3,"negative","Yes","Foe"
"@acmepackingco JJs broiler in Lihue, KI. Woke up early for the 8 am kickoff! #gopackgo",1203725766749380608,"False","Sioux Falls, SD","","SD",0,"positive","No","Fan"
"We’re both sick (for the 737374 time this year) but we’re also both ready for our @packers to get that W.  Cozy cud… https://t.co/25YUgrbamM",1203725709451157504,"False","Nashville, TN","","TN",1,"negative","Yes","Foe"
"Game day baby! #GoPackGo #Packers 🧀🧀",1203724873505366016,"False","Uniontown, Pa","","PA",2,"negative","Yes","Foe"
"@LFStadiumDrive Thanks for the support, my Brotherman. #GoPackGo",1203724724242542592,"False","Morrison, CO","","CO",1,"positive","Yes","Fan"
"It’s game day, bitches! #GoPackGo",1203724354414170112,"False","St Louis, MO","","MO",1,"negative","Yes","Foe"
"Made the trek to see my boy Allen light it up at Lambeau. Iowans gotta stick together. #GoPackGo https://t.co/i1CpdNPbLq",1203724188038684672,"False","Eden Prairie, MN","Lambeau Field","MN",1,"positive","Yes","Fan"
"Sup #Packers fans lemme hear some score predictions before kickoff I got Pack winning 34-13 blowout alert...? #GoPackGo on to 10-3",1203723911466143744,"False","Las Vegas, NV","","NV",0,"positive","No","Fan"
"It’s going to be a great day for 🏈 #GoPackGo https://t.co/DqHNN2xCrA",1203722260315426816,"False","Los Angeles, CA","Los Angeles, CA","CA",4,"positive","Yes","Fan"
"Packers Game ✔️
Cold Beer ✔️
Hot Food ✔️
Yeah, it's gonna be a good day.
#8thStreetGrill #Packers #GoPackGo… https://t.co/xH14SVBSkK",1203722184977506304,"False","Minneapolis, MN","","MN",1,"negative","Yes","Foe"
"I love cheese and the packers! #GoPackGo @ Huntington Beach, California https://t.co/4AXlhvhhC4",1203722049295749120,"False","Huntington Beach, CA","Huntington Beach, CA","CA",4,"positive","Yes","Fan"
"It’s game day!!!!! #GoPackGo",1203721558562394112,"False","","Staten Island, NY","NY",1,"negative","Yes","Foe"
"If you could see me now, you’d find frozen tears. I’m so fucking happy. #GoPackGo #CaliKidsInTheHouse @packers https://t.co/eXsDUykFPZ",1203721329356226560,"False","Oceanside, CA","Lambeau Field","CA",4,"positive","Yes","Fan"
"@amberindigo LOL!! I know the feeling well, I haven't been able to watch a Packers game without a bottle of whiskey… https://t.co/c5ARUzSkWq",1203721147264708608,"False","Connecticut ","","CT",0,"positive","No","Fan"
"If I can start drinking at 9:30 for my game everyone at the @packers better be lit already 😂😂 #leggo #GoPackGo 💚💛💚💛",1203719655145103360,"False","Los Angeles, CA","","CA",4,"positive","Yes","Fan"
"Nice brisk day at LAMBEAU! #GoPackGo https://t.co/pzaXpy2HcR",1203718187109568512,"False","Diorite, MI","","MI",1,"positive","Yes","Fan"
"It’s game day! #GoPackGo we finna go to the bar and eat wings and watch the game let’s go boys!",1203718054426927104,"False","Illinois, USA","","IL",1,"negative","Yes","Foe"
"@dana4bama Going down today. #GoPackGo",1203718045669064704,"False","Missouri, USA","","MO",1,"negative","Yes","Foe"
"Sooo with @King_kevvoo out does @Joshrando3 get the nod a chance for redemption against a rookie QB with little NFL… https://t.co/iGfhnq1av9",1203717482927800320,"False","North Dakota, USA","North Dakota, USA","ND",0,"negative","No","Foe"
"Traveled all the way to Green Bay from San Antonio, TX to see my first @packers game. I really wanna high-5 @tae15adams 🥺 #GoPackGo",1203716039323897856,"False","Seguin, TX","","TX",2,"negative","Yes","Foe"
"I am in green bay Wisconsin  of @packers game #GoPackGo",1203715520404631552,"False","Davenport, IA","","IA",0,"negative","No","Foe"
"@AllenLazard Good luck!  #GoPackGo",1203715501622476800,"False","Florida, USA","","FL",3,"positive","Yes","Fan"
"ITS GAME DAY WHORES #GoPackGo 🧀",1203715375642402816,"False","Dallas, Tx ","","TX",2,"negative","Yes","Foe"
"Game Day 💚🏈💛 #GoPackGo",1203714732475199488,"False","Tampa, FL","","FL",3,"negative","Yes","Foe"
"Game day is here!! #GoPackGo https://t.co/iBlgy1pVWi",1203713868612145152,"False","Iowa, USA","Lambeau Field","IA",0,"negative","No","Foe"
"@Craig_RINV Have the best time ever!!! #GoPackGo",1203713839679918080,"False","Tampa, FL","","FL",3,"positive","Yes","Fan"
"When you wake up &amp; remember it’s GAME DAY: #GoPackGo https://t.co/NJwx5f36fj",1203713503053398016,"False","Texas, USA","","TX",2,"negative","Yes","Foe"
"The latest 8mm @Daktronics displays at Lambeau!  #GoPackGo https://t.co/LfsD1U0OJM",1203711865915883520,"False","South Dakota","","SD",0,"positive","No","Fan"
"Short Stream. @packers game at 12!!! #GoPackGo #callofduty #blackout

https://t.co/YNyUd069P4",1203709576731930624,"False","Nebraska, USA","","NE",0,"negative","No","Foe"
"@AndrewBrandt Wait it would be among the top -7? I didn’t know that was a thing! 😂😂 #GoPackGo 🧀",1203709363912937472,"False","Jenison, Mi","","MI",1,"positive","Yes","Fan"
"Game day!!!!!!!! #GoPackGo #WASvsGB",1203709194920169472,"False","Florida, USA","","FL",3,"negative","Yes","Foe"
"A balmy 38 degrees up here in Packerland! The experience never ever gets old. Love this place. #gopackgo💚🏈💛 @ Lambe… https://t.co/u3eSLhxcnb",1203708967022542848,"False","Kokomo, Indiana","Green Bay, WI","IN",1,"positive","Yes","Fan"
"#NFLSunday Week 14 Top Play - 3 Team ML Parlay (#Browns  #GoPackGo #FlyEaglesFly) (YTD 4-7)

Created my own value h… https://t.co/bQq42O8bNq",1203708665590697984,"False","Washington, DC","","WA",1,"positive","Yes","Fan"
"🏈4 Wiseguy Plays NFL Sunday🏈

4 Wiseguy Plays READY for #NFL100  Week 14

- #GoNiners  @ #Saints  

- #RavensFlock … https://t.co/Ds3O5IiYGO",1203707111751831552,"False","Las Vegas, NV","","NV",0,"positive","No","Fan"
"Shout-Out And Good Morning To @NFLonCBS @CBSSports @JBsportscaster @CowherCBS @PhilSimmsQB @7BOOMERESIASON… https://t.co/qz3N7Z6PNr",1203705107763908608,"False","Toledo, Ohio","","OH",2,"positive","Yes","Fan"
"I’m going to the game. On the 50. I can’t believe it. #GoPackGo",1203700506029363200,"False","Atlanta, GA","Ashwaubenon, WI","GA",1,"negative","Yes","Foe"
"Game day 🧀 🧀 🧀 #GoPackGo",1203698915532509184,"False","St Louis, MO","","MO",1,"negative","Yes","Foe"
"@pick_six22 No Herb Adderley, seriously? 
-8 titles (3 SBs)
-7 All-Pro teams (4 1st-team)
-48 picks, 7 for TDs, 
-1… https://t.co/WVO2yskewX",1203697297697202176,"False","Providence, RI","","RI",0,"negative","No","Foe"
"🏈4 Wiseguy Plays NFL Sunday🏈

4 Wiseguy Plays READY for #NFL100 Week 14

- #GoNiners @ #Saints 

- #RavensFlock @… https://t.co/HJrymbWi3S",1203697197365133312,"False","Las Vegas, NV","","NV",0,"positive","No","Fan"
"Week 14: Washington Redskins vs Green Bay Packers. #GoPackGo. https://t.co/eOPeP30D11",1203696895161438208,"False","Trenton, OH","","OH",2,"negative","Yes","Foe"
"Its game day boys!!! #GoPackGo 
#WASvsGB https://t.co/Hks8r6XPhI",1203696045798113280,"False","Virginia, USA","","VA",0,"negative","No","Foe"
"Game day!! #GoPackGo",1203695010731847680,"False","Portland, OR","Gresham, OR","OR",0,"negative","No","Foe"
"2nd year coming to lambeau. Hands down the nicest people live here!!!! #gopackgo",1203693736871510016,"False","Fort Worth, TX","","TX",2,"negative","Yes","Foe"
"It’s Gameday in Green Bay!! #GoPackGo https://t.co/CHO4b0UYIw",1203691853557764096,"False","Kawkawlin, MI","Michigan, USA","MI",1,"negative","Yes","Foe"
"IT'S PACKERS GAME DAY, FELLOW CHEESE PEOPLE!!! 🧀 🧀 🏈 🏈

If the Green Bay Packers/Aaron Rodgers aren't your thing, t… https://t.co/SUNy49nIti",1203691848650416128,"False","North Carolina","","NC",1,"negative","Yes","Foe"
"Wearing my new @packers hat today for work. #GoPackGo Beat Washington! @NFL Also, is it too much to ask to get out… https://t.co/0FyyBsjE7U",1203691322462363648,"False","Jacksonville Beach, FL","","FL",3,"positive","Yes","Fan"
"Happy Game Day #PackersFamily #WASvsGB #GoPackGo https://t.co/9gtR1Bz0I3",1203687438255874048,"False","Texas, USA","","TX",2,"positive","Yes","Fan"
"WATCH: Packers RB Jamaal Williams Getting Excited for 'Frozen 2' is Hilarious

 #Funny #gopackgo #GreenBay #NFL… https://t.co/TBjkhj5pzv",1203687105282674688,"False","Michigan, USA","","MI",1,"positive","Yes","Fan"
"Of course. But Rodgers would need to get to next-level on fire. Still think they are a tick below the top teams in… https://t.co/GyFn4hi6QF",1203684309498056704,"False","Stamford, CT","","CT",0,"positive","No","Fan"
"8:32am to Lambeau. Intercom comes on “everybody have drinks? Great, we are gonna work on some tunes and we will be… https://t.co/tIy2yDhJAI",1203684082397396992,"False","Indianapolis, IN","","IN",1,"positive","Yes","Fan"
"Now that I'm home it's time to get 3 1/2 hours of sleep then watch the @packers game

Dedicated af #GoPackGo",1203683309521231872,"False","California","","CA",4,"negative","Yes","Foe"
"No one:
@Clack1988:  when it’s Game Day 💚💛💚💛🏈🏈🏈🏈#GoPackGo https://t.co/BZtSrR1SyY",1203683283969728512,"False","Indiana","","IN",1,"negative","Yes","Foe"
"Game day!! #GoPackGo https://t.co/cz4oiKzaYr",1203681959500828672,"False","Charlotte, NC","Charlotte, NC","NC",1,"negative","Yes","Foe"
"Think that Washington can hang around and eat some clock with their run game. But think that Packers will run it to… https://t.co/oJMafEh0or",1203680080972652544,"False","Stamford, CT","","CT",0,"negative","No","Foe"
"I’m 100% ok with this #RollTide #GoPackGo https://t.co/wlPoWQOltW",1203678047821598720,"False","Fort Wayne, IN","Fort Wayne, IN","IN",1,"positive","Yes","Fan"
"Repping the Smith bro’s at today’s game! 💛💚🏈 #gopackgo @PrestonSmith94 @TheRealZSmith https://t.co/JqjOsnNe0m",1203675026517561344,"False","Illinois, USA","","IL",1,"negative","Yes","Foe"
"Let’s get it done today!! Get loud #lambeau #GoPackGo 💚🏈💛 https://t.co/DYQ2CuwTOA",1203672850609127424,"False","Illinois, USA","","IL",1,"positive","Yes","Fan"
"Packer Game Day at Pourworks!  Packer Potluck!  Come watch the Pack win #10!  Doors open at noon, kickoff at 1PM!… https://t.co/RxZqDfTGFQ",1203668007639076864,"False","Raleigh, NC","","NC",1,"positive","Yes","Fan"
"First thing that starts playing in the morning is Shania, it’s gonna be a good day ladies and gentlemen.... #GoPackGo",1203666932744032256,"False","Menominee, MI","","MI",1,"positive","Yes","Fan"
"Had a good football morning. #GameDay #WASvsGB #GoPackGo https://t.co/k8OQuXxfXx",1203666579143180288,"False","Maryland, USA","","MD",2,"positive","Yes","Fan"
"LETS GO BAYBAY!!!! It’s GAME DAY 💚💛🧀 #GoPackGo",1203659690917404672,"False","Dallas, TX","","TX",2,"negative","Yes","Foe"
"Happy Sunday morning! I won’t get to see or listen to the @packers game as we’ll be at @NASAKennedy with an old fri… https://t.co/lQe89DKblV",1203656800840667136,"False","Fargo, ND, USA","","ND",0,"positive","No","Fan"
"This is just so beautiful. I am at a loss for words. @crosbykicks2, you are a rock. God Bless you and your family.… https://t.co/vnjzIhIfP6",1203624827287953408,"False","Duluth, Mn","","MN",1,"positive","Yes","Fan"
"Good luck, @AaronRodgers12! 💚💚💚 @packers #GoPackGo",1203622967474819072,"False","DES MOINES, IOWA ","","IA",0,"positive","No","Fan"
"Good luck, @packers! 💚💚💚#GoPackGo",1203622353982410752,"False","DES MOINES, IOWA ","","IA",0,"positive","No","Fan"
"#NFL100 
#inbrotherhood -3.5 &amp; OV 47

#GoBills +6.5 &amp; UN 44

#SeizeTheDEY #Browns game UN 42

#GoPackGo -13 &amp; UN 42… https://t.co/YZ8ye6pgti",1203592208588214272,"False","Las Vegas, NV","","NV",0,"negative","No","Foe"
"@HailRodgers12_ Greg Jennings was a game changer. Clutch catches to move the chains, big play capability from anywh… https://t.co/xKvE0mgrMq",1203580415560183808,"False","Highlands Ranch, CO","","CO",1,"negative","Yes","Foe"
"Looks like the Packers should draft him and let him learn from the best. #GoPackGo #AaronRodgers he looks like a Pa… https://t.co/2gzy76laKC",1203577040017989632,"False","Hicksville, NY","","NY",1,"positive","Yes","Fan"
"@packers Let's do this time for the W! Y'all ready #PackersNation?! #GoPackGo https://t.co/BwkUujFuhj",1203573979665125376,"False","Florida","","FL",3,"positive","Yes","Fan"
"@CharlesWoodson @CharlesWoodson been #Flawless 💯💪🧀🏈 and we know his love for Raiders Nation, but he going out as A… https://t.co/Gf9ZqbQxHR",1203568115449241600,"False","Tampa, Fl","","FL",3,"positive","Yes","Fan"
"Made GREAT moves as a .@packers . Definitely a .@PackersHOF player. #GoPackGo #NFL100 https://t.co/eviGEFjwBr",1203560980233498624,"False","Flatwoods, KY","","KY",0,"positive","No","Fan"
"Enjoy this now cause my boys @PrestonSmith94 @TheRealZSmith on yo head tommorow #GoPackGo https://t.co/H2joX4qGq9",1203531542502531072,"False","Murfreesboro, TN","","TN",1,"positive","Yes","Fan"
"@dh_simba7 Too bad you won’t be able to do that on Sunday. #GoPackGo",1203528671723741184,"False","Bloomington, MN","","MN",1,"negative","Yes","Foe"
"@TheTerry_25 Enjoy your loss tomorrow. #GoPackGo",1203526773746454528,"False","Sacramento, CA","","CA",4,"positive","Yes","Fan"
"@crosbykicks2 sending prayers from our family to yours.  I love the player you are, but love the man you are even m… https://t.co/Q5FP9FfRK0",1203526106302877696,"False","Grygla, MN","","MN",1,"positive","Yes","Fan"
"If the Packers somehow run the table and finish 13-3, they will be the number #2 seed if San Francisco beats New Or… https://t.co/FuGKxwEa7y",1.203513939948e+18,"False","Fled CA for Sun Valley, ID","","ID",0,"positive","No","Fan"
"Ready for tomorrow #GoPackGo",1203513234726232064,"False","St Louis, MO","","MO",1,"positive","Yes","Fan"
"See you tomorrow, beautiful. #GoPackGo https://t.co/szYcr12dKC",1203508535960723456,"False","Arizona","","AZ",1,"positive","Yes","Fan"
"Heading to Lambeau for the first time tomorrow! Any tips, things we should know/do, etc? 
Any tailgaters looking fo… https://t.co/uIfjSQLnAF",1203500304949489664,"False","Elkader, Iowa","","IA",0,"positive","No","Fan"
"@Coach_Griff921 Lol! Brat! I still beat you 😂😘 #gopackgo",1203497650697322496,"False","Mesa, AZ","","AZ",1,"positive","Yes","Fan"
"@gold_jag5 Love to see him in #GreenBay 
#GoPackGo",1203495035586699264,"False","SC","","SC",0,"positive","No","Fan"
"@Jsar SAYs THE BAD NEWz 6-7 COWBOY🤣🤣🤣 #GoPackGo",1203483549514506240,"False","ATL,GA","","GA",1,"negative","Yes","Foe"
"#ICYMI @Showtyme_33 has racked up over 1,000 total yards from scrimmage so far this season! Congrats Aaron, the bes… https://t.co/MqjMkaZWfj",1203473873397633024,"False","Newport Beach, CA","","CA",4,"positive","Yes","Fan"
"Za’Darius Smith Emerging as the Leader in Green Bay #Packers Defense 
https://t.co/xRJRWB8BWQ via @lastwordonnfl by @LWOS_KSharp #GoPackGo",1203473679369297920,"False","New Jersey, USA","","NJ",2,"negative","Yes","Foe"
"@ryanramoneda #gopackgo fan in #LA awesome #dodgers fans in #greenbay awesome!",1203471761691381760,"False","Reno, NV","Reno, NV","NV",0,"positive","No","Fan"
"Hey @TheRealZSmith, gotta love #CheeseHeadTV!  Can you go on one of their shows?  🙏🤞 #PackerNation loves you and so… https://t.co/3rQHLhOndZ",1203469354379173888,"False","Maryland","","MD",2,"positive","Yes","Fan"
"This is the most important ornament on any tree. #GoPackGo C.C. @KateKratoska https://t.co/EIELH7WOyM",1203458195722788864,"False","Minneapolis, Minnesota","","MN",1,"positive","Yes","Fan"
"@amberindigo You look awesome! #GoPackGo",1203453006680936448,"False","Charlotte, NC","Waxhaw, NC","NC",1,"positive","Yes","Fan"
"Front row at an amazing game, I love you(‘: @AaronRodgers12 #gopackgo https://t.co/FDs9KEQ7mA",1203452739554025472,"False","","Westfield, MA","MA",1,"positive","Yes","Fan"
"Had a absolute freaking blast today walking around #LambeauField. Got to meet a #Packer legend, and former #Hokie… https://t.co/UpEq78DGPd",1203446227414736896,"False","Bedford, VA","Lambeau Field","VA",0,"positive","No","Fan"
"@KCousineau09 Hotels are cheap too!! I’ll be there! #GoPackGo",1203444449981980672,"False","ROCKford, IL ","","IL",1,"positive","Yes","Fan"
"Cool!!! #GoPackGo https://t.co/3DQjnB0QUz",1203399900307673088,"False","Clearfield, Utah, USA","","UT",0,"positive","No","Fan"
"Quick little pit stop on the way to Lambeau
#GoPackGo https://t.co/0ilogo6mO7",1203389426275106816,"False","Minneapolis, MN","","MN",1,"positive","Yes","Fan"
"Little man snagging a shot with @Linsley71 outside the @LambeauField Atrium. | #GoPackGo https://t.co/IC7u12U5xu",1203389389486858240,"False","Clemmons, NC","","NC",1,"negative","Yes","Foe"
"Who’s ready for 10 an 3 tomorrow #GoPackGo!",1203380236836114432,"False","St Louis, MO","","MO",1,"positive","Yes","Fan"
"WATCH: Packers RB Jamaal Williams Getting Excited for 'Frozen 2' is Hilarious

 #Funny #gopackgo #GreenBay #NFL… https://t.co/IUrp8Gd7fE",1203379744206675968,"False","Michigan, USA","","MI",1,"positive","Yes","Fan"
"Trade up for Ceedee Lamb pretty please @packers #GoPackGo #Packers #Big12Championship",1203364255799529472,"False","Salt Lake City, UT","","UT",0,"positive","No","Fan"
"I would like for CeeDee Lamb to play professional football for the Green Bay Packers. #GoPackGo",1203363762776027136,"False","Auburn, AL","","AL",0,"negative","No","Foe"
"Here are my pre-game thoughts on the #WASvsGB game. #GoPackGo https://t.co/Y4wIQ9Y7cq",1203342857588879360,"False","Cape Coral, FL","","FL",3,"negative","Yes","Foe"
"Two of my man crushes share a birthday today....this silver-haired stud muffin right here  @Sean_C_Larkin 👇🏾👇🏾👇🏾 an… https://t.co/tX9CUwzKh9",1203340507897827328,"False","Houston, Texas","","TX",2,"positive","Yes","Fan"
"@MarcedesLewis89 @TheJimmyGraham @PlayersTribune @USAA Proud that @TheJimmyGraham is a Packer!  #GoPackGo",1203330669675515904,"False","Southside, Chicago, IL","","IL",1,"positive","Yes","Fan"
"One more sleep and it’s game day. #GoPackGo 💚💛",1203271737514741760,"False","Washington, USA","","WA",1,"positive","Yes","Fan"
"Unfortunately all packers will be busy that weekend #GoPackGo https://t.co/ljzCTxhiff",1203179539939176448,"False","Binghamton, NY","","NY",1,"negative","Yes","Foe"
"@SBNation Had everyone tell me the eagles would win. Had everyone tell me the falcons were gonna win. Had everyone… https://t.co/us6IDxTAop",1203143610549583872,"False","Pasadena, CA","","CA",4,"positive","Yes","Fan"
"@PastorChzhead Wish her a Happy Birthday! Have a great weekend and #GoPackGo",1203140701409513472,"False","Alaska, USA","","AK",0,"positive","No","Fan"
"Good evening, everyone. I had a good birthday today. My dad got me a new book about the #Packers. It’s called “The… https://t.co/aOTDsMkMri",1203129567319396352,"False","Cape Coral, FL","","FL",3,"positive","Yes","Fan"
"@SBNation Not an action shot, but my favorite.  #GoPackGo.  Also LOVE anything with @Donald_Driver80  and his giga-… https://t.co/1F6u4EUlcP",1203128846771347456,"False","Arizona, USA","","AZ",1,"positive","Yes","Fan"
"@MarkBeech2pt0 great book! Got it for my birthday today! #GoPackGo https://t.co/Prdo2eJWPb",1203125586891288576,"False","Cape Coral, FL","","FL",3,"positive","Yes","Fan"
"2 of Americas best #GoPackGo
Honey Boy Q&amp;A with Shia LaBeouf https://t.co/1lvB5fkvVD",1203119855735463936,"False","Los Angeles, CA","","CA",4,"positive","Yes","Fan"
"@mattramage I believe you earned those seats! Good for you and #GoPackGo",1203116822221987840,"False","Georgia, USA","","GA",1,"positive","Yes","Fan"
"My 4 favorite Packer moments of the decade #GoPackGo https://t.co/cCP4Sw9sS0 https://t.co/A1priPgXeB",1203099617644220416,"False","","Houston, TX","TX",2,"positive","Yes","Fan"
"@Grantley_ @dh_simba7 Fuck him. #GoPackGo",1.203099005754e+18,"False","Canton, OH ","","OH",2,"negative","Yes","Foe"
"@amberindigo I literally lol’d to your comment for this post! #GoPackGo",1203098685267173376,"False","ROCKford, IL ","","IL",1,"positive","Yes","Fan"
"It’s good to be in #titletown 🧀💚🧀 #GoPackGo #WASvsGB #TexasCheesehead https://t.co/ov73H4cI6o",1203096193963896832,"False","Corpus Christi, Tx","","TX",2,"positive","Yes","Fan"
"I was DANG tempted to grab a @TheRealZSmith jersey when I saw it at the mall today. Love watching you play! #GoPackGo",1203091509488295936,"False","Winona, MN","","MN",1,"positive","Yes","Fan"
"@espositoA_ @JamesSpicuzzan @NFL @Mtrubisky10 @ChicagoBears Pretty sure the Packers are 9-3
#GoPackGo",1203084757866893312,"False","Barnegat, NJ","","NJ",2,"positive","Yes","Fan"
"@TrevorWibicki @NFL @Mtrubisky10 @ChicagoBears You are as good as your record.

9-3

#GoPackGo",1203084667563511808,"False","Barnegat, NJ","","NJ",2,"positive","Yes","Fan"
"9-3. A bounce back win desperately needed. Aaron Rodgers put on a show in the snow, and the defense did their job.… https://t.co/KKj9JgliAQ",1203082062447730688,"False","Nashville, TN","","TN",1,"positive","Yes","Fan"
"Inject this dude directly into my veins!!!! #GoPackGo https://t.co/XX6lTlxbyd",1203072344249511936,"False","Waco, Texas","Waco, TX","TX",2,"positive","Yes","Fan"
"One of my favorite memories all time #gopackgo https://t.co/aKAazTkInE https://t.co/MJiA1mHiMu",1203071104769650688,"False","","Oregon, USA","OR",0,"positive","No","Fan"
"@packeverywhere @packers Y’all need to take action and vote for @Big__Blake50 for the @NFL #ProBowl #ProBowlVote… https://t.co/SrW5ev3T6U",1203063931406880768,"False","Clovis, CA","","CA",4,"positive","Yes","Fan"
"@jamienolastname Green Bay Packers are #1!
#GoPackGo",1203058445022306304,"False","Ocean Grove, NJ","","NJ",2,"negative","Yes","Foe"
"Wow, Sean Jones does not get enough credit when it comes to great defensive ends. The man had 113 sacks, 12 forced… https://t.co/g2gJ1E22XQ",1203052686259752960,"False","Victoria, TX","","TX",2,"positive","Yes","Fan"
"@packers @mikespofford @WesHod Let’s keep the momentum,one game at the time #gopackgo",1203050761883701248,"False","Missouri, USA","","MO",1,"negative","Yes","Foe"
"Green Bay #Packers Playoffs: Number One Seed Still Possible but they’re going to need some help.… https://t.co/y6d7G3UrCv",1.203049497452e+18,"False","Chicago, Illinois","Chicago, IL","IL",1,"negative","Yes","Foe"
"Green Bay #Packers Playoffs: Number One Seed Still Possible 
https://t.co/AjcnMCScFa via @lastwordonnfl by @WritingDavid #NFL100 #GoPackGo",1203049077786763264,"False","New Jersey, USA","","NJ",2,"negative","Yes","Foe"
"Awesome! 👏 #GoPackGo https://t.co/pInSmPqWm4",1203045282067431424,"False","Huntington, WV","","WV",0,"positive","No","Fan"
"The Carolina Panthers have fired Ron Rivera and are now in the market for a new head coach this offseason… https://t.co/xMmv8SPakb",1203039937261637632,"False","Michigan, USA","","MI",1,"positive","Yes","Fan"
"@Grindin_59 Except when you wear green and gold in week 1?? 🤨🤨 #GoPackGo",1203033577602109440,"False","Illinois, USA","","IL",1,"negative","Yes","Foe"
"Hello Milwaukee! Time to go catch a fucking football game with @boucher1113 #GoPackGo https://t.co/QBy7zUXoNM",1203031243765559296,"False","Bedford, VA","Coach's Pub 'N' Grill","VA",0,"negative","No","Foe"
"Congrats on a great career @jsitton71! #GoPackGo #welcomehome",1203030978475638784,"False","Chicago, IL","","IL",1,"positive","Yes","Fan"
"The Bears have lost 16 of last 19 to the Packers. Yet their fans chant “Green Bay sucks” after barley holding on to… https://t.co/WVIY0qdt07",1203030238189371392,"False","Fled CA for Sun Valley, ID","","ID",0,"negative","No","Foe"
